no,bulan,tanggal,pair,metode,arah,timeframe,sesi,lot,entry,sl,tp,risk_rp,reward_rp,rr_target,hasil_wl,hasil_rp,rr_actual,pip,drawdown_pct,running_equity,dd_dari_peak,emosi,alasan_entry,catatan,screenshot
48.0,Bulan 1,24/06/26,BTCUSD,Breakout Ranging,BUY,H1,,0.01,62803.19,62371.06,63619.63,4.3213,8.1644,1.889338856,LOSS,,0,432.13,0,594.6,0,Tenang,sudah ngebrakouat resitenya dan sudah ngambil area supportnya ,SL nya bukan di strong ,https://drive.google.com/file/d/1DaPfhNjFphT7T3L-FlcCJzTNI7GY1V-S/view?usp=drivesdk
49.0,Bulan 1,2026-06-24 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,62316.56,61845.60,63528.75,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area support strong nya,trend masih kuat turun jangan pernah ngelawan trend ,https://drive.google.com/file/d/1mQjQdtVmnXMyyix_LkzTnGBb04_7dsnx/view?usp=drivesdk
50.0,Bulan 1,2026-06-24 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,4049593.0,4059655.0,4037279.0,10062,12314,1.223812363,WIN,,0,-123140,0,594.6,0,Percaya Diri,sudah di area resisten dan sudah ngbreakot dan kembali ke area resisten nya,sesuai dengan metodenya ,https://drive.google.com/file/d/1VOvdaXWc0PBWw33ph0j-Mj4kOx1XT_-d/view?usp=drivesdk
51.0,Bulan 1,2026-06-24 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,60925.44,60291.09,61567.85,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area support nya,jangan pernah ngelawan trend dan loss berati trend masih kuat,https://drive.google.com/file/d/18QE9Q2-NklFJQDrQ3ilBjgQ-Oq4zgzFZ/view?usp=drivesdk
52.0,Bulan 1,2026-06-24 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,4017723.0,4054644.0,3964036.0,36921,53687,1.45410471,WIN,,0,-536870,0,594.6,0,Tenang,area masih kuat turun dan sudah di area resisten ,sesuai dengan metodenya ,https://drive.google.com/file/d/1EPWrzJoEA3dvwENwNBE2-n70sBEvfKNC/view?usp=drivesdk
53.0,Bulan 1,24/06/26,XAUUSD,Reversal Batas,SELL,H1,,0.01,4012.052,4044.601,3961.647,32.549,50.405,1.548588282,LOSS,,0,325.49,0,594.6,0,Tenang,sudah di area resitenya,trend sudah berubah ,
54.0,Bulan 1,24/06/26,BTCUSD,Reversal Batas,BUY,H1,,0.01,60983.66,60321.57,62593.49,6.6209,16.0983,2.431436814,LOSS,,0,662.09,0,594.6,0,Tenang,ada momentum dan sudah ngebrekoaut area resisten sebelumnya , jangan enrty di momen yang belum terjadi metodenya dan ya belum ada konfirmasi yang jelas tadi di metodenya ,
55.0,Bulan 1,2026-06-25 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,61185.44,60537.40,62596.11,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area support ,melawan trend jadi jangan pernah ngelawan trend ,
56.0,Bulan 1,2026-06-25 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,59371.53,59977.51,58206.58,,,,LOSS,,,,0,594.6,0,Tenang,sudah ngbreakot support dan menyentuh resisten nya,trend sudah berubah ,
57.0,Bulan 1,2026-06-26 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,,,,0,0,,LOSS,,,0,0,594.6,0,Tenang,sudah di area support ,bukan di area support strong nya,
58.0,Bulan 1,2026-06-26 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,,,,0,0,,LOSS,,,0,0,594.6,0,Tenang,bukan entry di area support strong nya,harus tunggu konfirmasi nya,
59.0,Bulan 1,2026-06-26 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,,,,0,0,,WIN,,,0,0,594.6,0,Tenang,sudah ada di area support strong ,sesuai dengan metodenya ,
60.0,Bulan 1,2026-06-26 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,,,,0,0,,WIN,,,0,0,594.6,0,Tenang,sudah di area support ,sesuai dengan metodenya ,
61.0,Bulan 1,26/06/26,XAUUSD,Breakout Ranging,BUY,H1,,0.01,40448.973,4023.643,4077.838,36425.33,36371.135,0.9985121617,WIN,,0,363711.35,0,594.6,0,Percaya Diri,sudah ngbreakout area resitenya ,sesuai dengan metodenya ,
62.0,Bulan 1,26/06/26,BTCUSD,Reversal Batas,BUY,H1,,0.01,59410.4,58902.69,60557.03,5.0771,11.4663,2.258434933,LOSS,,0,507.71,0,594.6,0,Tenang,sudah di area support ,support bukan di strong nya,
63.0,Bulan 1,29/06/26,XAUUSD,Reversal Batas,BUY,H1,,0.01,4036.788,4020.528,4087.033,16.26,50.245,3.090098401,LOSS,,0,162.6,0,594.6,0,Percaya Diri,sudah di area support strongnya,SL nya bukan di area strong ,
64.0,Bulan 1,29/06/26,BTCUSD,Breakout Ranging,SELL,H1,,0.01,59950.75,60.860.74,58143.64,,18.0711,,LOSS,,,,0,594.6,0,Tenang,sudah ngebrakouat resitenya,jagan ngerasa tau trend ke mana jika trend mau naik yah udah biarin ajh,
65.0,Bulan 2,2026-07-07 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4164.429,4188.248,4102.62,23.819,61.809,2.594945212,WIN,,0,-618.09,0,594.6,0,Tenang,sudah ngebrakouat support strongnya ,jika belum kena tp modal minem yang harus di inget resikonya gak ada metodenya 100% profit dan anggap diri kita bodoh,
